,,,Number of people in each PTAL level:,,,,,,,,,,0,1,2,3,4,5,6,7,8,
E05000151,Coulsdon West,Croydon,3,"3,343","2,096","5,702","2,240",65,0,0,0,"13,449",0.0,0.2,0.3,1.3,0.7,0.0,0.0,0.0,0.0,2.5
E05000152,Croham,Croydon,11,"1,000","3,312","4,769","4,447","1,027","1,224",0,0,"15,790",0.0,0.1,0.4,0.9,1.1,0.3,0.5,0.0,0.0,3.3
E05000153,Fairfield,Croydon,104,96,"1,105","1,920","1,610","1,599","2,629","4,307","3,199","16,569",0.0,0.0,0.1,0.3,0.4,0.5,1.0,1.8,1.5,5.7
E05000154,Fieldway,Croydon,0,0,973,"10,494",16,0,0,0,0,"11,482",0.0,0.0,0.2,2.7,0.0,0.0,0.0,0.0,0.0,2.9
E05000155,Heathfield,Croydon,200,"1,829","6,019","4,696",468,0,0,0,0,"13,213",0.0,0.1,0.9,1.1,0.1,0.0,0.0,0.0,0.0,2.3
E05000156,Kenley,Croydon,"1,235","4,244","5,436","2,793","1,207",52,0,0,0,"14,966",0.0,0.3,0.7,0.6,0.3,0.0,0.0,0.0,0.0,1.9
E05000157,New Addington,Croydon,0,110,"3,288","7,221",182,0,0,0,0,"10,801",0.0,0.0,0.6,2.0,0.1,0.0,0.0,0.0,0.0,2.7
E05000158,Norbury,Croydon,14,"1,177","3,941","4,603","5,603","1,138",0,0,0,"16,476",0.0,0.1,0.5,0.8,1.4,0.3,0.0,0.0,0.0,3.1
E05000159,Purley,Croydon,31,"2,144","2,915","5,273","3,443",669,133,0,0,"14,607",0.0,0.1,0.4,1.1,0.9,0.2,0.1,0.0,0.0,2.9
E05000160,Sanderstead,Croydon,565,"4,465","6,413","1,333",0,0,0,0,0,"12,777",0.0,0.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,1.7
E05000161,Selhurst,Croydon,0,0,256,"3,848","8,696","3,279",945,591,472,"18,087",0.0,0.0,0.0,0.6,1.9,0.9,0.3,0.2,0.2,4.2
E05000162,Selsdon and Ballards,Croydon,526,"2,263","5,860","3,070",0,0,0,0,0,"11,719",0.0,0.2,1.0,0.8,0.0,0.0,0.0,0.0,0.0,2.0
E05000163,Shirley,Croydon,5,"4,151","6,468","3,672",0,0,0,0,0,"14,296",0.0,0.3,0.9,0.8,0.0,0.0,0.0,0.0,0.0,2.0
E05000164,South Norwood,Croydon,40,422,"1,621","5,978","2,515","3,425","2,421",96,0,"16,518",0.0,0.0,0.2,1.1,0.6,1.0,0.9,0.0,0.0,3.9
E05000165,Thornton Heath,Croydon,227,"1,363","2,523","4,620","5,205","2,601",0,0,0,"16,539",0.0,0.1,0.3,0.8,1.3,0.8,0.0,0.0,0.0,3.3
E05000166,Upper Norwood,Croydon,0,213,"4,579","9,090","1,346",144,259,451,0,"16,082",0.0,0.0,0.6,1.7,0.3,0.0,0.1,0.2,0.0,3.0
E05000167,Waddon,Croydon,0,457,"2,981","4,131","5,810","2,339","1,252",110,0,"17,079",0.0,0.0,0.3,0.7,1.4,0.7,0.4,0.0,0.0,3.6
E05000168,West Thornton,Croydon,0,310,"2,756","8,749","5,673",0,0,0,0,"17,489",0.0,0.0,0.3,1.5,1.3,0.0,0.0,0.0,0.0,3.1
E05000169,Woodside,Croydon,28,441,"2,766","2,796","6,844","2,990",878,0,0,"16,743",0.0,0.0,0.3,0.5,1.6,0.9,0.3,0.0,0.0,3.7
E05000170,Acton Central,Ealing,0,264,"2,251","8,454","4,135",237,85,0,0,"15,427",0.0,0.0,0.3,1.6,1.1,0.1,0.0,0.0,0.0,3.1
E05000171,Cleveland,Ealing,0,0,"2,229","9,896","2,151",281,0,0,0,"14,558",0.0,0.0,0.3,2.0,0.6,0.1,0.0,0.0,0.0,3.0
E05000172,Dormers Wells,Ealing,0,0,"1,942","7,235","3,213","1,160",361,0,0,"13,910",0.0,0.0,0.3,1.6,0.9,0.4,0.2,0.0,0.0,3.3
E05000173,Ealing Broadway,Ealing,0,0,334,"3,842","1,741","1,672","2,130","4,124",185,"14,029",0.0,0.0,0.0,0.8,0.5,0.6,0.9,2.1,0.1,5.0
E05000174,Ealing Common,Ealing,0,"1,410","1,907","4,349","2,871","1,682",576,"1,180",44,"14,019",0.0,0.1,0.3,0.9,0.8,0.6,0.2,0.6,0.0,3.6
E05000175,East Acton,Ealing,0,212,"1,486","4,934","6,580","3,023","2,326",144,0,"18,706",0.0,0.0,0.2,0.8,1.4,0.8,0.7,0.1,0.0,4.0
